date,NZD_CNY_rate,CNY_NZD_rate
1990-1-31,2.850732,0.350841
1990-2-28,2.800401,0.357118
1990-3-31,2.767933,0.361301
1990-4-30,2.740089,0.364958
1990-5-31,2.712202,0.368708
1990-6-30,2.757663,0.362641
1990-7-31,2.799944,0.357153
1990-8-31,2.901572,0.344798
1990-9-30,2.938878,0.340279
1990-10-31,2.89379,0.345605
1990-11-30,3.038867,0.32989
1990-12-31,3.118792,0.320705
1991-1-31,3.113697,0.321169
1991-2-28,3.147402,0.317729
1991-3-31,3.108894,0.321677
1991-4-30,3.108736,0.32168
1991-5-31,3.123347,0.320178
1991-6-30,3.094606,0.32315
1991-7-31,3.043267,0.328604
1991-8-31,3.081277,0.324546
1991-9-30,3.123747,0.320167
1991-10-31,3.037055,0.329295
1991-11-30,3.048088,0.328084
1991-12-31,2.996533,0.33377
1992-1-31,2.95998,0.337855
1992-2-29,2.96764,0.336973
1992-3-31,3.006372,0.332629
1992-4-30,2.982832,0.335264
1992-5-31,2.952141,0.338743
1992-6-30,2.975211,0.336119
1992-7-31,2.979662,0.335612
1992-8-31,2.940628,0.340074
1992-9-30,2.98041,0.335569
1992-10-31,3.005174,0.332762
1992-11-30,2.917869,0.342728
1992-12-31,2.9956,0.333866
1993-1-31,2.96323,0.337493
1993-2-28,2.983231,0.335221
1993-3-31,3.046558,0.32825
1993-4-30,3.082784,0.324404
1993-5-31,3.114128,0.321126
1993-6-30,3.100694,0.322525
1993-7-31,3.170777,0.315391
1993-8-31,3.199953,0.312511
1993-9-30,3.199963,0.312511
1993-10-31,3.205798,0.311942
1993-11-30,3.182314,0.314272
1993-12-31,3.23831,0.308825
1994-1-31,4.907211,0.203793
1994-2-28,5.011194,0.199556
1994-3-31,4.980873,0.200781
1994-4-30,4.969943,0.201218
1994-5-31,5.06795,0.197331
1994-6-30,5.133771,0.194793
1994-7-31,5.201698,0.19225
1994-8-31,5.17459,0.193255
1994-9-30,5.160283,0.19379
1994-10-31,5.20627,0.192086
1994-11-30,5.300836,0.188653
1994-12-31,5.418739,0.184549
1995-1-31,5.416394,0.184627
1995-2-28,5.364736,0.186406
1995-3-31,5.457399,0.183248
1995-4-30,5.632776,0.177549
1995-5-31,5.564269,0.179753
1995-6-30,5.57041,0.179522
1995-7-31,5.609555,0.178269
1995-8-31,5.468607,0.182894
1995-9-30,5.469902,0.182825
1995-10-31,5.492875,0.182055
1995-11-30,5.435429,0.183981
1995-12-31,5.417392,0.184595
1996-1-31,5.519576,0.181182
1996-2-29,5.624822,0.177785
1996-3-31,5.684271,0.175935
1996-4-30,5.699218,0.175466
1996-5-31,5.724172,0.174701
1996-6-30,5.643563,0.177201
1996-7-31,5.755324,0.173759
1996-8-31,5.741452,0.174176
1996-9-30,5.803871,0.172302
1996-10-31,5.836839,0.17134
1996-11-30,5.911812,0.169155
1996-12-31,5.871995,0.170306
1997-1-31,5.835521,0.171385
1997-2-28,5.749659,0.173929
1997-3-31,5.810462,0.172111
1997-4-30,5.763021,0.173523
1997-5-31,5.750812,0.173892
1997-6-30,5.718538,0.174874
1997-7-31,5.496835,0.181984
1997-8-31,5.341465,0.187218
1997-9-30,5.289405,0.18906
1997-10-31,5.283753,0.189299
1997-11-30,5.187663,0.192772
1997-12-31,4.914248,0.203544
1998-1-31,4.813251,0.207805
1998-2-28,4.841887,0.206544
1998-3-31,4.756983,0.2103
1998-4-30,4.596348,0.217575
1998-5-31,4.476163,0.223445
1998-6-30,4.257327,0.234987
1998-7-31,4.308446,0.232124
1998-8-31,4.164537,0.240195
1998-9-30,4.189653,0.238743
1998-10-31,4.31561,0.231871
1998-11-30,4.420661,0.226225
1998-12-31,4.323461,0.231303
1999-1-31,4.462082,0.224121
1999-2-28,4.503005,0.222136
1999-3-31,4.406448,0.226951
1999-4-30,4.497993,0.222372
1999-5-31,4.57592,0.218615
1999-6-30,4.414313,0.226545
1999-7-31,4.356573,0.229548
1999-8-31,4.359349,0.22944
1999-9-30,4.33168,0.230889
1999-10-31,4.25931,0.234799
