date,USD exchange rate
1973-6-29,1.327
1973-7-30,1.352
1973-8-30,1.344
1973-9-29,1.441
1973-10-30,1.481
1973-11-29,1.457
1973-12-30,1.433
1974-1-30,1.387
1974-2-27,1.408
1974-3-30,1.436
1974-4-29,1.455
1974-5-30,1.465
1974-6-29,1.454
1974-7-30,1.45
1974-8-30,1.431
1974-9-29,1.4
1974-10-30,1.304
1974-11-29,1.305
1974-12-30,1.31
1975-1-30,1.322
1975-2-27,1.338
1975-3-30,1.349
1975-4-29,1.331
1975-5-30,1.322
1975-6-29,1.313
1975-7-30,1.282
1975-8-30,1.123
1975-9-29,1.06
1975-10-30,1.052
1975-11-29,1.052
1975-12-30,1.043
1976-1-30,1.045
1976-2-28,1.048
1976-3-30,1.029
1976-4-29,1.007
1976-5-30,0.997
1976-6-29,0.987
1976-7-30,0.995
1976-8-30,1.001
1976-9-29,0.994
1976-10-30,0.969
1976-11-29,0.961
1976-12-30,0.925
1977-1-30,0.952
1977-2-27,0.954
1977-3-30,0.959
1977-4-29,0.963
1977-5-30,0.962
1977-6-29,0.964
1977-7-30,0.973
1977-8-30,0.97
1977-9-29,0.97
1977-10-30,0.983
1977-11-29,0.995
1977-12-30,1.007
1978-1-30,1.022
1978-2-27,1.023
1978-3-30,1.024
1978-4-29,1.021
1978-5-30,1.009
1978-6-29,1.02
1978-7-30,1.038
1978-8-30,1.055
1978-9-29,1.057
1978-10-30,1.073
1978-11-29,1.057
1978-12-30,1.055
1979-1-30,1.059
1979-2-27,1.055
1979-3-30,1.055
1979-4-29,1.05
1979-5-30,1.045
1979-6-29,1.035
1979-7-30,1.02
1979-8-30,1.015
1979-9-29,1.004
1979-10-30,0.986
1979-11-29,0.969
1979-12-30,0.981
1980-1-30,0.988
1980-2-28,0.98
1980-3-30,0.956
1980-4-29,0.948
1980-5-30,0.977
1980-6-29,0.988
1980-7-30,0.987
1980-8-30,0.978
1980-9-29,0.983
1980-10-30,0.981
1980-11-29,0.968
1980-12-30,0.954
1981-1-30,0.962
1981-2-27,0.936
1981-3-30,0.921
1981-4-29,0.904
1981-5-30,0.882
1981-6-29,0.859
1981-7-30,0.839
1981-8-30,0.824
1981-9-29,0.828
1981-10-30,0.825
