"","date","Total_Gross_Exports_in_tonnes"
"1","1988-03",2428834
"2","1988-06",2981603
"3","1988-09",2514797
"4","1988-12",2464172
"5","1989-03",2809753
"6","1989-06",2897429
"7","1989-09",2742569
"8","1989-12",2679136
"9","1990-03",3282173
"10","1990-06",3351756
"11","1990-09",3240685
"12","1990-12",3254588
"13","1991-03",3531721
"14","1991-06",4009681
"15","1991-09",3772004
"16","1991-12",3915156
"17","1992-03",3716358
"18","1992-06",4453764
"19","1992-09",3734038
"20","1992-12",3857051
"21","1993-03",3882384
"22","1993-06",5027886
"23","1993-09",3670761
"24","1993-12",3864580
"25","1994-03",4633375
"26","1994-06",4863844
"27","1994-09",4073676
"28","1994-12",4244714
"29","1995-03",4535572
"30","1995-06",4944987
"31","1995-09",4533450
"32","1995-12",4631144
"33","1996-03",4816489
"34","1996-06",5439916
"35","1996-09",5008617
"36","1996-12",5308669
"37","1997-03",4665545
"38","1997-06",5660915
"39","1997-09",4721496
"40","1997-12",4677515
"41","1998-03",4187829
"42","1998-06",4951315
"43","1998-09",4514117
"44","1998-12",5075305
"45","1999-03",5182684
"46","1999-06",5274077
"47","1999-09",5697954
"48","1999-12",5391190
"49","2000-03",5215895
"50","2000-06",6039979
"51","2000-09",5168730
"52","2000-12",5568199
"53","2001-03",5526481
"54","2001-06",6258459
"55","2001-09",6026400
"56","2001-12",6281897
"57","2002-03",5705519
"58","2002-06",6657057
"59","2002-09",6413496
"60","2002-12",6498840
"61","2003-03",6031191
"62","2003-06",6392504
"63","2003-09",5624681
"64","2003-12",5278343
"65","2004-03",5793185
"66","2004-06",5892403
"67","2004-09",5334025
"68","2004-12",5444128
"69","2005-03",5190610
"70","2005-06",5925428
"71","2005-09",5198948
"72","2005-12",5459877
"73","2006-03",5128211
"74","2006-06",6052849
"75","2006-09",5444878
"76","2006-12",5781312
"77","2007-03",5733060
"78","2007-06",6006553
"79","2007-09",5628430
"80","2007-12",6138497
"81","2008-03",6466208
"82","2008-06",6788398
"83","2008-09",6307834
"84","2008-12",5771769
"85","2009-03",5706510
"86","2009-06",7632909
"87","2009-09",7554003
"88","2009-12",6501419
"89","2010-03",7276276
"90","2010-06",8028841
"91","2010-09",7243287
"92","2010-12",7919081
"93","2011-03",7635274
"94","2011-06",8656770
"95","2011-09",7808606
"96","2011-12",7740885
"97","2012-03",7698408
"98","2012-06",9332018
"99","2012-09",8599375
"100","2012-12",9161699
"101","2013-03",8395420
"102","2013-06",9496172
"103","2013-09",9095163
"104","2013-12",9665134
"105","2014-03",9458885
"106","2014-06",10204562
"107","2014-09",8621994
"108","2014-12",9619520
"109","2015-03",8793721
"110","2015-06",9675017
"111","2015-09",8531501
"112","2015-12",9250296
"113","2016-03",9428817
"114","2016-06",10708716
"115","2016-09",10275917
"116","2016-12",10146902
"117","2017-03",8670006
"118","2017-06",10740265
"119","2017-09",10270055
"120","2017-12",11092266
"121","2018-03",10002076
"122","2018-06",10854160
"123","2018-09",10957035
"124","2018-12",10821275
"125","2019-03",10606711
"126","2019-06",11547002
"127","2019-09",11007291
"128","2019-12",10402155
"129","2020-03",9874586
"130","2020-06",9551649
"131","2020-09",10577978
"132","2020-12",11379776
"133","2021-03",10412001
"134","2021-06",11752629
"135","2021-09",10059054
"136","2021-12",10216018
"137","2022-03",8925030
"138","2022-06",10670814
"139","2022-09",9478434
