"","date","Actual_counts"
"1","1921-06",2934
"2","1921-09",1808
"3","1921-12",3783
"4","1922-03",3801
"5","1922-06",1964
"6","1922-09",1565
"7","1922-12",2692
"8","1923-03",4032
"9","1923-06",1927
"10","1923-09",1733
"11","1923-12",3926
"12","1924-03",3631
"13","1924-06",1977
"14","1924-09",1638
"15","1924-12",4079
"16","1925-03",3618
"17","1925-06",2060
"18","1925-09",2054
"19","1925-12",4314
"20","1926-03",4954
"21","1926-06",2166
"22","1926-09",2230
"23","1926-12",4022
"24","1927-03",5021
"25","1927-06",1895
"26","1927-09",1769
"27","1927-12",4162
"28","1928-03",4611
"29","1928-06",1899
"30","1928-09",2415
"31","1928-12",4663
"32","1929-03",4322
"33","1929-06",2088
"34","1929-09",1863
"35","1929-12",4697
"36","1930-03",4028
"37","1930-06",2067
"38","1930-09",1614
"39","1930-12",3494
"40","1931-03",2974
"41","1931-06",1190
"42","1931-09",1053
"43","1931-12",2398
"44","1932-03",2321
"45","1932-06",1198
"46","1932-09",983
"47","1932-12",2781
"48","1933-03",3068
"49","1933-06",1438
"50","1933-09",1286
"51","1933-12",3163
"52","1934-03",3912
"53","1934-06",1585
"54","1934-09",1620
"55","1934-12",3763
"56","1935-03",4205
"57","1935-06",1793
"58","1935-09",1723
"59","1935-12",4116
"60","1936-03",5174
"61","1936-06",1929
"62","1936-09",2210
"63","1936-12",5077
"64","1937-03",5570
"65","1937-06",2386
"66","1937-09",2449
"67","1937-12",5626
"68","1938-03",6186
"69","1938-06",2604
"70","1938-09",2365
"71","1938-12",5269
"72","1939-03",6585
"73","1939-06",2886
"74","1939-09",2223
"75","1939-12",2457
"76","1940-03",2374
"77","1940-06",1467
"78","1940-09",1587
"79","1940-12",1964
"80","1941-03",1579
"81","1941-06",1013
"82","1941-09",748
"83","1941-12",1122
"84","1942-03",439
"85","1942-06",262
"86","1942-09",264
"87","1942-12",369
"88","1943-03",490
"89","1943-06",351
"90","1943-09",253
"91","1943-12",582
"92","1944-03",642
"93","1944-06",532
"94","1944-09",562
"95","1944-12",1717
"96","1945-03",829
"97","1945-06",714
"98","1945-09",827
"99","1945-12",1280
"100","1946-03",2439
"101","1946-06",1717
"102","1946-09",1645
"103","1946-12",2871
"104","1947-03",2960
"105","1947-06",2117
"106","1947-09",1868
"107","1947-12",3585
"108","1948-03",3907
"109","1948-06",2012
"110","1948-09",1724
"111","1948-12",3309
"112","1949-03",4674
"113","1949-06",2323
"114","1949-09",2163
"115","1949-12",4399
"116","1950-03",5831
"117","1950-06",2785
"118","1950-09",2446
"119","1950-12",5454
"120","1951-03",5749
"121","1951-06",2379
"122","1951-09",2689
"123","1951-12",5656
"124","1952-03",6426
"125","1952-06",3398
"126","1952-09",3004
"127","1952-12",5787
"128","1953-03",6476
"129","1953-06",3333
"130","1953-09",3065
"131","1953-12",5845
"132","1954-03",7263
"133","1954-06",3569
"134","1954-09",3170
"135","1954-12",6909
"136","1955-03",8298
"137","1955-06",3882
"138","1955-09",3790
"139","1955-12",7588
"140","1956-03",8419
"141","1956-06",4630
"142","1956-09",4243
"143","1956-12",9621
"144","1957-03",9485
"145","1957-06",4663
"146","1957-09",4969
"147","1957-12",9945
"148","1958-03",10195
"149","1958-06",5302
"150","1958-09",5236
"151","1958-12",10047
"152","1959-03",10588
"153","1959-06",5140
