"","X1","X2","X3","X4"
"1","","Actual Counts","Seasonally Adjusted","Counts Derived from a Sample"
"2","1921Q2","2,934","..","2,934"
"3","1921Q3","1,808","..","1,808"
"4","1921Q4","3,783","..","3,783"
"5","1922Q1","3,801","..","3,801"
"6","1922Q2","1,964","..","1,964"
"7","1922Q3","1,565","..","1,565"
"8","1922Q4","2,692","..","2,692"
"9","1923Q1","4,032","..","4,032"
"10","1923Q2","1,927","..","1,927"
"11","1923Q3","1,733","..","1,733"
"12","1923Q4","3,926","..","3,926"
"13","1924Q1","3,631","..","3,631"
"14","1924Q2","1,977","..","1,977"
"15","1924Q3","1,638","..","1,638"
"16","1924Q4","4,079","..","4,079"
"17","1925Q1","3,618","..","3,618"
"18","1925Q2","2,060","..","2,060"
"19","1925Q3","2,054","..","2,054"
"20","1925Q4","4,314","..","4,314"
"21","1926Q1","4,954","..","4,954"
"22","1926Q2","2,166","..","2,166"
"23","1926Q3","2,230","..","2,230"
"24","1926Q4","4,022","..","4,022"
"25","1927Q1","5,021","..","5,021"
"26","1927Q2","1,895","..","1,895"
"27","1927Q3","1,769","..","1,769"
"28","1927Q4","4,162","..","4,162"
"29","1928Q1","4,611","..","4,611"
"30","1928Q2","1,899","..","1,899"
"31","1928Q3","2,415","..","2,415"
"32","1928Q4","4,663","..","4,663"
"33","1929Q1","4,322","..","4,322"
"34","1929Q2","2,088","..","2,088"
"35","1929Q3","1,863","..","1,863"
"36","1929Q4","4,697","..","4,697"
"37","1930Q1","4,028","..","4,028"
"38","1930Q2","2,067","..","2,067"
"39","1930Q3","1,614","..","1,614"
"40","1930Q4","3,494","..","3,494"
"41","1931Q1","2,974","..","2,974"
"42","1931Q2","1,190","..","1,190"
"43","1931Q3","1,053","..","1,053"
"44","1931Q4","2,398","..","2,398"
"45","1932Q1","2,321","..","2,321"
"46","1932Q2","1,198","..","1,198"
"47","1932Q3","983","..","983"
"48","1932Q4","2,781","..","2,781"
"49","1933Q1","3,068","..","3,068"
"50","1933Q2","1,438","..","1,438"
"51","1933Q3","1,286","..","1,286"
"52","1933Q4","3,163","..","3,163"
"53","1934Q1","3,912","..","3,912"
"54","1934Q2","1,585","..","1,585"
"55","1934Q3","1,620","..","1,620"
"56","1934Q4","3,763","..","3,763"
"57","1935Q1","4,205","..","4,205"
"58","1935Q2","1,793","..","1,793"
"59","1935Q3","1,723","..","1,723"
"60","1935Q4","4,116","..","4,116"
"61","1936Q1","5,174","..","5,174"
"62","1936Q2","1,929","..","1,929"
"63","1936Q3","2,210","..","2,210"
"64","1936Q4","5,077","..","5,077"
"65","1937Q1","5,570","..","5,570"
"66","1937Q2","2,386","..","2,386"
"67","1937Q3","2,449","..","2,449"
"68","1937Q4","5,626","..","5,626"
"69","1938Q1","6,186","..","6,186"
"70","1938Q2","2,604","..","2,604"
"71","1938Q3","2,365","..","2,365"
"72","1938Q4","5,269","..","5,269"
"73","1939Q1","6,585","..","6,585"
"74","1939Q2","2,886","..","2,886"
"75","1939Q3","2,223","..","2,223"
"76","1939Q4","2,457","..","2,457"
"77","1940Q1","2,374","..","2,374"
"78","1940Q2","1,467","..","1,467"
"79","1940Q3","1,587","..","1,587"
"80","1940Q4","1,964","..","1,964"
"81","1941Q1","1,579","..","1,579"
"82","1941Q2","1,013","..","1,013"
"83","1941Q3","748","..","748"
"84","1941Q4","1,122","..","1,122"
"85","1942Q1","439","..","439"
"86","1942Q2","262","..","262"
"87","1942Q3","264","..","264"
"88","1942Q4","369","..","369"
"89","1943Q1","490","..","490"
"90","1943Q2","351","..","351"
"91","1943Q3","253","..","253"
"92","1943Q4","582","..","582"
"93","1944Q1","642","..","642"
"94","1944Q2","532","..","532"
"95","1944Q3","562","..","562"
"96","1944Q4","1,717","..","1,717"
"97","1945Q1","829","..","829"
"98","1945Q2","714","..","714"
"99","1945Q3","827","..","827"
"100","1945Q4","1,280","..","1,280"
"101","1946Q1","2,439","..","2,439"
"102","1946Q2","1,717","..","1,717"
"103","1946Q3","1,645","..","1,645"
"104","1946Q4","2,871","..","2,871"
"105","1947Q1","2,960","..","2,960"
"106","1947Q2","2,117","..","2,117"
"107","1947Q3","1,868","..","1,868"
"108","1947Q4","3,585","..","3,585"
"109","1948Q1","3,907","..","3,907"
"110","1948Q2","2,012","..","2,012"
"111","1948Q3","1,724","..","1,724"
"112","1948Q4","3,309","..","3,309"
"113","1949Q1","4,674","..","4,674"
"114","1949Q2","2,323","..","2,323"
"115","1949Q3","2,163","..","2,163"
"116","1949Q4","4,399","..","4,399"
"117","1950Q1","5,831","..","5,831"
"118","1950Q2","2,785","..","2,785"
"119","1950Q3","2,446","..","2,446"
"120","1950Q4","5,454","..","5,454"
"121","1951Q1","5,749","..","5,749"
"122","1951Q2","2,379","..","2,379"
"123","1951Q3","2,689","..","2,689"
"124","1951Q4","5,656","..","5,656"
"125","1952Q1","6,426","..","6,426"
"126","1952Q2","3,398","..","3,398"
"127","1952Q3","3,004","..","3,004"
"128","1952Q4","5,787","..","5,787"
"129","1953Q1","6,476","..","6,476"
"130","1953Q2","3,333","..","3,333"
"131","1953Q3","3,065","..","3,065"
"132","1953Q4","5,845","..","5,845"
"133","1954Q1","7,263","..","7,263"
"134","1954Q2","3,569","..","3,569"
"135","1954Q3","3,170","..","3,170"
"136","1954Q4","6,909","..","6,909"
"137","1955Q1","8,298","..","8,298"
"138","1955Q2","3,882","..","3,882"
"139","1955Q3","3,790","..","3,790"
"140","1955Q4","7,588","..","7,588"
"141","1956Q1","8,419","..","8,419"
"142","1956Q2","4,630","..","4,630"
"143","1956Q3","4,243","..","4,243"
"144","1956Q4","9,621","..","9,621"
"145","1957Q1","9,485","..","9,485"
"146","1957Q2","4,663","..","4,663"
"147","1957Q3","4,969","..","4,969"
"148","1957Q4","9,945","..","9,945"
"149","1958Q1","10,195","..","10,195"
"150","1958Q2","5,302","..","5,302"
"151","1958Q3","5,236","..","5,236"
"152","1958Q4","10,047","..","10,047"
