"Motor Vehicles Currently Licensed by Type (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Cars","","","Rental Cars","","","Goods Service Vehicles Discontinued January 1991","","","Private Taxis","","","Public Taxis (Discontinued)","","","Omnibuses (after December 1989)","","","Service Coaches","","","Trailers (including Caravans)","","","Motor Cycles","","","Mopeds","","","Miscellaneous (Including Tractors)","","","Trade Plates - D (Discontinued)","","","Trade Plates - C (after December 1997)","","","Exempt Vehicles","","","Taxis","","","Omnibuses and Service Coaches","","","Light Trucks, Vans and Utilities (Discontinued after October 1995)","","","Heavy Trucks (Refer to V= Trucks)","","","Goods Service Cars Discontinued October 1993","","","Caravans (Starts 10.1993, Discontinued 10.1995)","","","Tractors (Starts October 1993)","","","Trucks (Starts November 1995)","","","Total Trade Plates Issued (Start Jan 1998.)","","","Total All Vehicles","",""
" ","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods","12 Months","6 Months","Total both periods"
"1988M01",1318876,85962,1404838,9946,389,10335,287038,10844,297882,458,13,471,2369,91,2460,6962,100,7062,1290,11,1301,"..","..","..",72587,20442,93029,825,106,931,"..","..","..",5001,0,5001,277,0,277,9135,1438,10573,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2038704,151020,2189724
"1988M02",1302929,88557,1391486,9470,328,9798,282779,11185,293964,444,16,460,2287,91,2378,6568,112,6680,991,13,1004,"..","..","..",75074,21766,96840,862,118,980,"..","..","..",5029,0,5029,278,0,278,9096,1213,10309,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2037013,157231,2194244
"1988M03",1276218,97120,1373338,8717,271,8988,277537,11624,289161,440,22,462,2243,118,2361,6805,137,6942,1221,14,1235,"..","..","..",76157,21156,97313,900,120,1020,"..","..","..",5045,0,5045,284,0,284,8955,1018,9973,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2015365,163640,2179005
"1988M04",1251538,100790,1352328,8540,238,8778,271487,11676,283163,438,21,459,2176,126,2302,6729,136,6865,1223,13,1236,"..","..","..",75915,19373,95288,929,111,1040,"..","..","..",5077,0,5077,286,0,286,8849,968,9817,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1985220,160275,2145495
"1988M05",1259660,108764,1368424,8158,257,8415,272726,12369,285095,444,23,467,2194,138,2332,6890,132,7022,1247,9,1266,"..","..","..",76915,18461,95376,950,118,1068,"..","..","..",5114,0,5114,287,0,287,8955,946,9901,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2001976,164439,2166415
"1988M06",1245574,113336,1358910,6442,216,6658,266812,13315,280127,441,26,467,2147,169,2316,6663,148,6811,1232,28,1260,"..","..","..",77106,18964,96070,968,166,1134,"..","..","..",3258,0,3258,178,0,178,8650,1119,9769,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1982266,164846,2147112
"1988M07",1249761,123071,1372832,7311,221,7532,270286,14527,284813,423,26,449,2156,188,2344,6868,167,7035,1249,40,1289,"..","..","..",77298,18811,96109,976,163,1139,"..","..","..",4256,0,4256,237,0,237,8832,1221,10053,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1997089,174043,2171132
"1988M08",1235324,143278,1378602,6945,256,7201,266714,16633,283347,411,30,441,2114,205,2319,6834,179,7013,1220,44,1264,"..","..","..",75806,19067,94873,983,157,1140,"..","..","..",4367,0,4367,254,0,254,8314,1282,9596,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1975059,196468,2171527
"1988M09",1233562,156118,1389680,6974,278,7252,266551,17857,284408,401,41,442,2072,238,2310,6667,183,6850,1228,45,1273,"..","..","..",70883,19833,90716,945,160,1105,"..","..","..",4401,0,4401,259,0,259,8148,1202,9350,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1955374,211342,2166716
